antecedents,a,consequents,c,lift,antecedent support,consequent support,support,confidence,leverage,conviction,antecedent_len,consequent_len,rule_len
Accelerator,Toaru Majutsu no Index,Gilgamesh,Fate/Zero,4.280999593,0.013694574,0.02209638,0.001295433,0.094594595,0.000992832,1.080072655,1,1,2
Accelerator,Toaru Majutsu no Index,Koyomi Araragi,Bakemonogatari,2.447829719,0.013694574,0.042508698,0.001424976,0.104054054,0.000842837,1.068693158,1,1,2
Accelerator,Toaru Majutsu no Index,Gintoki Sakata,Gintama,2.337147921,0.013694574,0.047412836,0.001517507,0.110810811,0.000868208,1.071298634,1,1,2
Accelerator,Toaru Majutsu no Index,Rintarou Okabe,Steins;Gate,1.996609245,0.013694574,0.069712784,0.001906137,0.139189189,0.00095145,1.080710424,1,1,2
Accelerator,Toaru Majutsu no Index,Rin Tohsaka,Fate/Zero,1.885459814,0.013694574,0.042286624,0.001091865,0.07972973,0.000512767,1.040687076,1,1,2
Accelerator,Toaru Majutsu no Index,Ken Kaneki,Tokyo Ghoul,1.722208057,0.013694574,0.043156414,0.00101784,0.074324324,0.000426831,1.033670443,1,1,2
Accelerator,Toaru Majutsu no Index,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,1.505368815,0.013694574,0.060145088,0.001239914,0.090540541,0.000416253,1.033421448,1,1,2
Accelerator,Toaru Majutsu no Index,Hitagi Senjougahara,Bakemonogatari,1.480793341,0.013694574,0.058405507,0.001184396,0.086486486,0.000384557,1.030739533,1,1,2
Accelerator,Toaru Majutsu no Index,Kurisu Makise,Steins;Gate,1.465498353,0.013694574,0.074690947,0.001499001,0.109459459,0.00047614,1.039042032,1,1,2
Accelerator,Toaru Majutsu no Index,Levi,Shingeki no Kyojin,1.143941853,0.013694574,0.077966541,0.001221408,0.089189189,0.000153689,1.012321602,1,1,2
Accelerator,Toaru Majutsu no Index,Touma Kamijou,Toaru Majutsu no Index,27.56068987,0.013694574,0.004756089,0.0017951,0.131081081,0.001729967,1.145381795,1,1,2
Accelerator,Toaru Majutsu no Index,Mikoto Misaka,Toaru Majutsu no Index,11.77768091,0.013694574,0.025816123,0.004163891,0.304054054,0.00381035,1.399798193,1,1,2
Ace D. Portgas,One Piece,Itachi Uchiha,Naruto,3.588787791,0.010122881,0.038714931,0.00140647,0.138939671,0.001014563,1.116396885,1,1,2
Ace D. Portgas,One Piece,Levi,Shingeki no Kyojin,2.930990566,0.010122881,0.077966541,0.002313273,0.228519196,0.001524027,1.195147635,1,1,2
Ace D. Portgas,One Piece,Killua Zoldyck,Hunter x Hunter (2011),2.332843378,0.010122881,0.083851506,0.001980161,0.195612431,0.001131343,1.13893915,1,1,2
Ace D. Portgas,One Piece,Lelouch Lamperouge,Code Geass: Hangyaku no Lelouch,1.545116017,0.010122881,0.072174106,0.001128877,0.111517367,0.000398267,1.044281407,1,1,2
Ace D. Portgas,One Piece,Hancock Boa,One Piece,21.34055252,0.010122881,0.005311274,0.001147383,0.113345521,0.001093618,1.121844811,1,1,2
Ace D. Portgas,One Piece,Luffy D. Monkey,One Piece,9.173839261,0.010122881,0.046432008,0.00431194,0.425959781,0.003841914,1.661151884,1,1,2
Ace D. Portgas,One Piece,Robin Nico,One Piece,9.095690416,0.010122881,0.015878303,0.001461988,0.144424132,0.001301254,1.150244804,1,1,2
Aguero Agnis Khun,Kami no Tou: Tower of God,Twenty-Fifth Baam,Kami no Tou: Tower of God,38.18038513,0.011270264,0.00610704,0.002627878,0.23316913,0.00255905,1.296104524,1,1,2
Aguero Agnis Khun,Kami no Tou: Tower of God,Endorsi Jahad,Kami no Tou: Tower of God,26.49256414,0.011270264,0.003904804,0.001165889,0.103448276,0.001121881,1.111029257,1,1,2
Aguero Agnis Khun,Kami no Tou: Tower of God,Lelouch Lamperouge,Code Geass: Hangyaku no Lelouch,1.911087533,0.011270264,0.072174106,0.001554519,0.137931034,0.000741098,1.076278037,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Nino Nakano,5-Toubun no Hanayome,5.813782081,0.018321119,0.017895477,0.001906137,0.104040404,0.001578271,1.096148227,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Miku Nakano,5-Toubun no Hanayome,4.87176559,0.018321119,0.022392479,0.001998668,0.109090909,0.001588412,1.097314564,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Yui Yuigahama,Yahari Ore no Seishun Love Come wa Machigatteiru.,4.817836465,0.018321119,0.016563032,0.001461988,0.07979798,0.001158535,1.068718549,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kyouko Hori,Horimiya,4.714219114,0.018321119,0.01371308,0.001184396,0.064646465,0.000933157,1.054453618,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Shinobu Kochou,Kimetsu no Yaiba,4.017119796,0.018321119,0.015841291,0.001165889,0.063636364,0.000875659,1.051043281,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Aqua,Kono Subarashii Sekai ni Shukufuku wo!,3.138454545,0.018321119,0.022207417,0.001276926,0.06969697,0.000870062,1.051047402,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,2.838254545,0.018321119,0.060145088,0.003127545,0.170707071,0.002025619,1.133320782,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kazuma Satou,Kono Subarashii Sekai ni Shukufuku wo!,2.484128261,0.018321119,0.029276778,0.001332445,0.072727273,0.000796062,1.046858376,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Hitagi Senjougahara,Bakemonogatari,2.438541307,0.018321119,0.058405507,0.002609372,0.142424242,0.001539317,1.097972376,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kurisu Makise,Steins;Gate,2.258464727,0.018321119,0.074690947,0.003090532,0.168686869,0.00172211,1.113069213,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Shinobu Oshino,Bakemonogatari,2.125404569,0.018321119,0.056554889,0.002202236,0.12020202,0.001166087,1.072342893,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Violet Evergarden,Violet Evergarden,2.104005542,0.018321119,0.04128729,0.001591532,0.086868687,0.000835102,1.04991768,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Nezuko Kamado,Kimetsu no Yaiba,2.034299416,0.018321119,0.03227478,0.001202902,0.065656566,0.000611592,1.035727533,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaori Miyazono,Shigatsu wa Kimi no Uso,1.978905735,0.018321119,0.028073877,0.00101784,0.055555556,0.000503495,1.029098248,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Askeladd,Vinland Saga,1.977853551,0.018321119,0.029110223,0.001054852,0.057575758,0.00052152,1.030204587,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Shouko Nishimiya,Koe no Katachi,1.91914617,0.018321119,0.031053372,0.001091865,0.05959596,0.000522932,1.030351409,1,1,2
Ai Hayasaka,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Koyomi Araragi,Bakemonogatari,1.520782048,0.018321119,0.042508698,0.001184396,0.064646465,0.000405589,1.023667807,1,1,2
